epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,549.423,0.52892,1.43145,0.83634,0.39063,0.51077,0.50362,0.44189,0.56946,1.66283,0.81615,0.000324815,0.000324815,0.000324815
44,560.752,0.56898,1.44068,0.84467,0.40506,0.53187,0.51069,0.40671,0.84786,1.61897,0.85993,0.000319311,0.000319311,0.000319311
45,571.818,0.56813,1.40877,0.8379,0.39887,0.55998,0.51888,0.42604,0.76261,1.56641,0.84585,0.000313806,0.000313806,0.000313806
46,583.023,0.54383,1.41338,0.84107,0.40374,0.58423,0.54297,0.4813,0.52793,1.48449,0.81143,0.000308302,0.000308302,0.000308302
47,594.069,0.50354,1.28713,0.82829,0.4387,0.61315,0.55911,0.47528,0.6642,1.43412,0.83186,0.000302798,0.000302798,0.000302798
48,605.128,0.50636,1.28686,0.83164,0.39959,0.60498,0.5433,0.45263,0.70944,1.44233,0.83872,0.000297293,0.000297293,0.000297293
49,616.584,0.52627,1.29596,0.83803,0.40443,0.62235,0.54981,0.47571,0.6011,1.40802,0.82245,0.000291789,0.000291789,0.000291789
50,627.937,0.51104,1.25672,0.82884,0.45519,0.61275,0.58092,0.50968,0.56205,1.33174,0.81611,0.000286284,0.000286284,0.000286284
51,638.938,0.50723,1.25264,0.83031,0.47972,0.6276,0.58381,0.48838,0.68865,1.32609,0.83486,0.00028078,0.00028078,0.00028078
52,650.174,0.49685,1.20269,0.82505,0.50284,0.64811,0.60513,0.53334,0.54929,1.27942,0.81478,0.000275276,0.000275276,0.000275276
53,661.152,0.47732,1.13184,0.82279,0.52629,0.63993,0.62633,0.55312,0.5381,1.24451,0.81268,0.000269771,0.000269771,0.000269771
54,672.609,0.54754,1.22354,0.83821,0.50298,0.66371,0.64718,0.54459,0.6956,1.23667,0.83439,0.000264267,0.000264267,0.000264267
55,683.716,0.49059,1.17233,0.82591,0.53583,0.67242,0.64424,0.54557,0.67281,1.22844,0.83098,0.000258762,0.000258762,0.000258762
56,694.907,0.46927,1.086,0.82269,0.54744,0.69094,0.64982,0.55726,0.62325,1.20004,0.82299,0.000253258,0.000253258,0.000253258
57,706.12,0.51221,1.13399,0.831,0.54465,0.68728,0.66612,0.58186,0.58021,1.17799,0.81588,0.000247754,0.000247754,0.000247754
58,717.244,0.48383,1.07855,0.83053,0.59489,0.69611,0.68807,0.60072,0.58604,1.17396,0.81724,0.000242249,0.000242249,0.000242249
59,728.582,0.48879,1.05683,0.8244,0.60311,0.67804,0.69959,0.59447,0.66257,1.11326,0.82881,0.000236745,0.000236745,0.000236745
60,739.826,0.49406,1.05391,0.82886,0.57826,0.68153,0.70308,0.6071,0.60243,1.08607,0.8205,0.00023124,0.00023124,0.00023124
61,751.111,0.52069,1.0975,0.84177,0.60031,0.67317,0.71637,0.60281,0.67308,1.09238,0.82942,0.000225736,0.000225736,0.000225736
62,762.07,0.50216,1.0243,0.83117,0.63276,0.6825,0.73243,0.58767,0.83053,1.11263,0.85189,0.000220232,0.000220232,0.000220232
63,773.249,0.52532,1.08981,0.83617,0.65946,0.71267,0.74086,0.64285,0.62169,1.07006,0.81889,0.000214727,0.000214727,0.000214727
64,784.691,0.52103,1.05195,0.83283,0.63304,0.69719,0.72132,0.64233,0.51484,1.03228,0.81047,0.000209223,0.000209223,0.000209223
65,795.755,0.49965,1.00848,0.83297,0.58298,0.74491,0.70608,0.62014,0.55225,1.04745,0.81827,0.000203718,0.000203718,0.000203718
66,806.813,0.47429,0.95074,0.82793,0.60224,0.74393,0.70569,0.58605,0.72474,1.06554,0.84433,0.000198214,0.000198214,0.000198214
67,817.718,0.45976,0.92076,0.8171,0.63179,0.73645,0.7363,0.62389,0.66026,1.02951,0.82951,0.00019271,0.00019271,0.00019271
68,828.888,0.48032,0.97589,0.82658,0.64932,0.73667,0.7451,0.66446,0.50408,1.01734,0.80617,0.000187205,0.000187205,0.000187205
69,840.18,0.557,1.03744,0.83944,0.69933,0.7278,0.74928,0.6687,0.50512,1.02013,0.80636,0.000181701,0.000181701,0.000181701
70,851.467,0.48447,0.96753,0.82693,0.73622,0.71394,0.76206,0.64833,0.64797,1.01387,0.82836,0.000176196,0.000176196,0.000176196
71,862.696,0.49237,0.94449,0.82489,0.68734,0.72697,0.76671,0.64489,0.6779,0.99933,0.83265,0.000170692,0.000170692,0.000170692
72,873.758,0.45992,0.9175,0.81965,0.66474,0.72713,0.76839,0.67675,0.55185,1.00452,0.81273,0.000165188,0.000165188,0.000165188
73,884.93,0.49757,0.95253,0.83676,0.72025,0.69838,0.7797,0.68786,0.53595,0.98536,0.81018,0.000159683,0.000159683,0.000159683
74,896.157,0.48468,0.91995,0.82743,0.71647,0.73109,0.77785,0.67638,0.57887,0.97261,0.81744,0.000154179,0.000154179,0.000154179
75,907.146,0.4665,0.94893,0.82453,0.73432,0.69503,0.78051,0.67578,0.58122,0.97345,0.81834,0.000148674,0.000148674,0.000148674
76,918.407,0.45374,0.86911,0.82063,0.67458,0.75926,0.78347,0.69003,0.52657,0.95705,0.80848,0.00014317,0.00014317,0.00014317
77,929.478,0.47606,0.87575,0.82462,0.68353,0.76717,0.78633,0.69895,0.50672,0.94723,0.80554,0.000137666,0.000137666,0.000137666
78,940.605,0.46458,0.87282,0.82351,0.76703,0.74736,0.80294,0.70173,0.54983,0.92444,0.81083,0.000132161,0.000132161,0.000132161
79,951.969,0.48179,0.95836,0.83027,0.77967,0.75442,0.81258,0.69077,0.64211,0.90606,0.82416,0.000126657,0.000126657,0.000126657
80,963.495,0.4996,0.98452,0.84239,0.7607,0.75462,0.80755,0.69009,0.63166,0.90543,0.82281,0.000121152,0.000121152,0.000121152
81,974.827,0.46218,0.85855,0.82478,0.75657,0.76101,0.80941,0.69493,0.61767,0.90627,0.8209,0.000115648,0.000115648,0.000115648
82,986.005,0.47539,0.90254,0.82857,0.72324,0.79217,0.82147,0.70745,0.61257,0.89236,0.82051,0.000110144,0.000110144,0.000110144
83,997.232,0.4749,0.85596,0.82595,0.76277,0.76641,0.82907,0.70125,0.65974,0.89741,0.8275,0.000104639,0.000104639,0.000104639
